site,date,pv,uv,organic_traffic
Site A,2024-06-01,10000,6500,5500
Site A,2024-06-02,10000,6500,5500
Site A,2024-06-03,10000,6500,5500
Site A,2024-06-04,10000,6500,5500
Site A,2024-06-05,10000,6500,5500
Site A,2024-06-06,10000,6500,5500
Site A,2024-06-07,10000,6500,5500
Site A,2024-06-08,10000,6500,5500
Site A,2024-06-09,10000,6500,5500
Site A,2024-06-10,10000,6500,5500
Site A,2024-06-11,10000,6500,5500
Site A,2024-06-12,10000,6500,5500
Site A,2024-06-13,10000,6500,5500
Site A,2024-06-14,10000,6500,5500
Site A,2024-06-15,10000,6500,5500
Site A,2024-06-16,10000,6500,5500
Site A,2024-06-17,10000,6500,5500
Site A,2024-06-18,10000,6500,5500
Site A,2024-06-19,10000,6500,5500
Site A,2024-06-20,10000,6500,5500
Site A,2024-06-21,10000,6500,5500
Site A,2024-06-22,10000,6500,5500
Site A,2024-06-23,10000,6500,5500
Site A,2024-06-24,10000,6500,5500
Site A,2024-06-25,10000,6500,5500
Site A,2024-06-26,10000,6500,5500
Site A,2024-06-27,10000,6500,5500
Site A,2024-06-28,10000,6500,5500
Site A,2024-06-29,10000,6500,5500
Site A,2024-06-30,10000,6500,5500
Site A,2024-07-01,10000,6500,4200
Site A,2024-07-02,9921,6448,4166
Site A,2024-07-03,9841,6396,4133
Site A,2024-07-04,9762,6345,4100
Site A,2024-07-05,9683,6293,4066
Site A,2024-07-06,9603,6241,4033
Site A,2024-07-07,9524,6190,4000
Site A,2024-07-08,9445,6139,3966
Site A,2024-07-09,9366,6087,3933
Site A,2024-07-10,9286,6035,3900
Site A,2024-07-11,9207,5984,3866
Site A,2024-07-12,9128,5933,3833
Site A,2024-07-13,9048,5881,3800
Site A,2024-07-14,8969,5829,3766
Site A,2024-07-15,8890,5778,3733
Site A,2024-07-16,8810,5726,3700
Site A,2024-07-17,8731,5675,3667
Site A,2024-07-18,8652,5623,3633
Site A,2024-07-19,8572,5571,3600
Site A,2024-07-20,8493,5520,3567
Site A,2024-07-21,8414,5469,3533
Site A,2024-07-22,8334,5417,3500
Site A,2024-07-23,8255,5365,3467
Site A,2024-07-24,8176,5314,3433
Site A,2024-07-25,8097,5263,3400
Site A,2024-07-26,8017,5211,3367
Site A,2024-07-27,7938,5159,3333
Site A,2024-07-28,7859,5108,3300
Site A,2024-07-29,7779,5056,3267
Site A,2024-07-30,7700,5005,3234
